coszen,rho,rds,dust,algae,BBA
0.3,400,200,0,0,0.810989397
0.3,400,200,0,10000,0.8109893969
0.3,400,200,0,50000,0.8109893967
0.3,400,200,0,100000,0.8109893964
0.3,400,200,0,1000000,0.8109893905
0.3,400,200,0,15000000,0.8109892997
0.3,400,200,0,20000000,0.8109892672
0.3,400,200,10000,0,0.810989397
0.3,400,200,10000,10000,0.8109893969
0.3,400,200,10000,50000,0.8109893967
0.3,400,200,10000,100000,0.8109893963
0.3,400,200,10000,1000000,0.8109893905
0.3,400,200,10000,15000000,0.8109892996
0.3,400,200,10000,20000000,0.8109892672
0.3,400,200,50000,0,0.810989397
0.3,400,200,50000,10000,0.8109893969
0.3,400,200,50000,50000,0.8109893967
0.3,400,200,50000,100000,0.8109893963
0.3,400,200,50000,1000000,0.8109893905
0.3,400,200,50000,15000000,0.8109892996
0.3,400,200,50000,20000000,0.8109892672
0.3,400,200,100000,0,0.810989397
0.3,400,200,100000,10000,0.8109893969
0.3,400,200,100000,50000,0.8109893967
0.3,400,200,100000,100000,0.8109893963
0.3,400,200,100000,1000000,0.8109893905
0.3,400,200,100000,15000000,0.8109892996
0.3,400,200,100000,20000000,0.8109892672
0.3,400,200,1000000,0,0.8109893968
0.3,400,200,1000000,10000,0.8109893968
0.3,400,200,1000000,50000,0.8109893965
0.3,400,200,1000000,100000,0.8109893962
0.3,400,200,1000000,1000000,0.8109893903
0.3,400,200,1000000,15000000,0.8109892995
0.3,400,200,1000000,20000000,0.810989267
0.3,400,200,15000000,0,0.8109893942
0.3,400,200,15000000,10000,0.8109893942
0.3,400,200,15000000,50000,0.8109893939
0.3,400,200,15000000,100000,0.8109893936
0.3,400,200,15000000,1000000,0.8109893878
0.3,400,200,15000000,15000000,0.8109892969
0.3,400,200,15000000,20000000,0.8109892645
0.3,400,200,20000000,0,0.8109893933
0.3,400,200,20000000,10000,0.8109893933
0.3,400,200,20000000,50000,0.810989393
0.3,400,200,20000000,100000,0.8109893927
0.3,400,200,20000000,1000000,0.8109893868
0.3,400,200,20000000,15000000,0.810989296
0.3,400,200,20000000,20000000,0.8109892635
0.3,400,300,0,0,0.7931022056
0.3,400,300,0,10000,0.7931022056
0.3,400,300,0,50000,0.7931022055
0.3,400,300,0,100000,0.7931022055
0.3,400,300,0,1000000,0.793102204
0.3,400,300,0,15000000,0.7931021821
0.3,400,300,0,20000000,0.7931021742
0.3,400,300,10000,0,0.7931022056
0.3,400,300,10000,10000,0.7931022056
0.3,400,300,10000,50000,0.7931022055
0.3,400,300,10000,100000,0.7931022055
0.3,400,300,10000,1000000,0.793102204
0.3,400,300,10000,15000000,0.7931021821
0.3,400,300,10000,20000000,0.7931021742
0.3,400,300,50000,0,0.7931022056
0.3,400,300,50000,10000,0.7931022056
0.3,400,300,50000,50000,0.7931022055
0.3,400,300,50000,100000,0.7931022055
0.3,400,300,50000,1000000,0.793102204
0.3,400,300,50000,15000000,0.7931021821
0.3,400,300,50000,20000000,0.7931021742
0.3,400,300,100000,0,0.7931022056
0.3,400,300,100000,10000,0.7931022056
0.3,400,300,100000,50000,0.7931022055
0.3,400,300,100000,100000,0.7931022055
0.3,400,300,100000,1000000,0.793102204
0.3,400,300,100000,15000000,0.7931021821
